<<<<<<< HEAD
#背景图列表,,,,
#背景图名,初始深度,初始Alpha,初始Y坐标,
Sky2.png,0.999,255,0,
Sky.png,0.999,0,0,
shan2.png,0.89,255,380,
shan.png,0.89,0,380,
shui.png,0,255,850,
wu.png,-2,6,0,
wu.png,-4,8,0,
wu.png,-6,10,0,
wu.png,-8,12,0,
START,START,START,START,
#完成背景图后用START,,,,
#此后定义操作指令,,,,
#要修改的属性,起始时间,持续时间,要修改的bg编号,目标值
#可修改的属性有,,,,
#A - alpha,,,,
#D - depth,,,,
#Y - Y,,,,
#S - Globle Speed,,,,
#开始出雾,,,,
A,100,900,5,48
A,100,900,6,64
A,100,900,7,96
A,100,900,8,128
#开始变天,,,,
A,310,900,1,255
A,320,900,3,255
#视角下降,,,,
Y,2050,60,1,-40
Y,2050,60,3,310
Y,2050,60,0,-40
Y,2050,60,2,310
Y,2050,60,4,450
#到中Boss时减速,,,,
S,2300,60,0,0.2
#中Boss战结束时加速,,,,
S,2600,60,0,7
#大Boss出现时，视角上升，雾气减少,,,,
Y,2830,40,4,720
Y,2850,60,1,0
Y,2850,60,3,380
Y,2850,60,0,0
Y,2850,60,2,380
A,2850,60,5,24
A,2850,60,6,24
A,2850,60,7,24
A,2850,60,8,24
A,2850,60,1,0
A,2850,60,3,0
#减速,,,,
S,2890,60,3,0.2
#开战！,,,,
S,3400,90,0,9
=======
#背景图列表,,,,
#背景图名,初始深度,初始Alpha,初始Y坐标,
Sky2.png,0.999,255,0,
Sky.png,0.999,0,0,
shan2.png,0.89,255,380,
shan.png,0.89,0,380,
shui.png,0,255,850,
wu.png,-2,6,0,
wu.png,-4,8,0,
wu.png,-6,10,0,
wu.png,-8,12,0,
START,START,START,START,
#完成背景图后用START,,,,
#此后定义操作指令,,,,
#要修改的属性,起始时间,持续时间,要修改的bg编号,目标值
#可修改的属性有,,,,
#A - alpha,,,,
#D - depth,,,,
#Y - Y,,,,
#S - Globle Speed,,,,
#开始出雾,,,,
A,100,900,5,48
A,100,900,6,64
A,100,900,7,96
A,100,900,8,128
#开始变天,,,,
A,310,900,1,255
A,320,900,3,255
#视角下降,,,,
Y,2050,60,1,-40
Y,2050,60,3,310
Y,2050,60,0,-40
Y,2050,60,2,310
Y,2050,60,4,450
#到中Boss时减速,,,,
S,2300,60,0,0.2
#中Boss战结束时加速,,,,
S,2600,60,0,7
#大Boss出现时，视角上升，雾气减少,,,,
Y,2830,40,4,720
Y,2850,60,1,0
Y,2850,60,3,380
Y,2850,60,0,0
Y,2850,60,2,380
A,2850,60,5,24
A,2850,60,6,24
A,2850,60,7,24
A,2850,60,8,24
A,2850,60,1,0
A,2850,60,3,0
#减速,,,,
S,2890,60,3,0.2
#开战！,,,,
S,3400,90,0,9
>>>>>>> 720c0b59a97be74f02a7c85da646f3f62bece3a5
